name,auto_budget,currency,auto_budget_amount,auto_budget_period,attachments
93cA-)&58gW222,Set a fixed amount every period,1,35042,Yearly,Attachments File/Report_1MB.csv
07eQ-)&5deN222,Add an amount every period and correct for overspending,8,47831,Daily,Attachments File/Report_1MB.csv
97hI-)&7j0O222,Set a fixed amount every period,8,57388,Monthly,
37yN-)&7wvH222,Set a fixed amount every period,8,35978,Monthly,
90pH-)&6rsJ222,Set a fixed amount every period,1,40862,Weekly,Attachments File/Report_1MB.csv
39kC-)&7h2N222,Add an amount every period and correct for overspending,8,74315,Yearly,Attachments File/Report_1MB.csv
66hQ-)&5hcK222,Set a fixed amount every period,8,14892,Daily,Attachments File/Report_1MB.csv
29uC-)&2r2B222,No auto-budget,8,92181,,
15yZ-)&09mZ222,No auto-budget,1,10340,Daily,
93zM-)&2p2U222,Add an amount every period and correct for overspending,8,53062,Monthly,Attachments File/Report_1MB.csv
76xJ-)&7mgC222,Set a fixed amount every period,8,76242,Weekly,Attachments File/Report_1MB.csv
25zM-)&0e7M222,Set a fixed amount every period,1,85645,Yearly,Attachments File/Report_1MB.csv
23kO-)&77pH222,No auto-budget,8,13608,Daily,Attachments File/Report_1MB.csv
56cL-)&6y2S222,Set a fixed amount every period,1,37317,Daily,Attachments File/Report_65MB.csv
77uS-)&9yiG222,Add an amount every period,1,70762,,Attachments File/Report_65MB.csv
31uC-)&4kfS222,Set a fixed amount every period,1,23753,Weekly,
,No auto-budget,1,75502,Daily,Attachments File/Report_1MB.csv
42nZ-)&44fH222,Add an amount every period and correct for overspending,1,67098,Daily,
,No auto-budget,1,88269,Daily,Attachments File/Report_1MB.csv
53yK-)&93mC222,Add an amount every period and correct for overspending,1,20715,Monthly,Attachments File/Report_1MB.csv
,No auto-budget,8,57696,Monthly,Attachments File/Report_1MB.csv
73qE-)&0cfE222,Set a fixed amount every period,1,77611,Yearly,Attachments File/Report_1MB.csv
37bT-)&0ndX222,Add an amount every period,8,71043,Daily,Attachments File/Report_1MB.csv
89zU-)&7djO222,Add an amount every period,8,61616,Yearly,
91dV-)&65fH222,Add an amount every period,8,,Weekly,Attachments File/Report_1MB.csv
32pR-)&4flO222,Add an amount every period and correct for overspending,1,65597,Yearly,Attachments File/Report_1MB.csv
42lJ-)&4cwM222,Add an amount every period and correct for overspending,1,25865,Weekly,Attachments File/Report_65MB.csv
84kW-)&9lwF222,Set a fixed amount every period,8,96265,Monthly,Attachments File/Report_1MB.csv
50wG-)&9rsU222,No auto-budget,1,95064,Weekly,
00wH-)&72hL222,Add an amount every period and correct for overspending,1,25814,Yearly,Attachments File/Report_1MB.csv
71vL-)&5p3G222,Add an amount every period and correct for overspending,1,8225,,Attachments File/Report_65MB.csv
77sL-)&37sL222,Add an amount every period,8,,Daily,
95zI-)&5v0M222,No auto-budget,8,82266,,Attachments File/Report_1MB.csv
71jS-)&8w8T222,Set a fixed amount every period,8,18720,Monthly,Attachments File/Report_1MB.csv
18cR-)&6x8B222,Add an amount every period and correct for overspending,1,65265,Daily,Attachments File/Report_1MB.csv
66hY-)&0irA222,Add an amount every period,1,68448,Yearly,Attachments File/Report_65MB.csv
04wW-)&8hoX222,No auto-budget,8,76983,Monthly,Attachments File/Report_1MB.csv
12hI-)&83lK222,Add an amount every period,8,64840,Weekly,Attachments File/Report_1MB.csv
45xE-)&5prR222,Add an amount every period,1,10596,Yearly,Attachments File/Report_1MB.csv
74oJ-)&8t5L222,No auto-budget,8,18081,Weekly,Attachments File/Report_1MB.csv
64bF-)&4omU222,Add an amount every period,1,4227,Monthly,Attachments File/Report_1MB.csv
11vM-)&6xvQ222,Add an amount every period,8,13850,Monthly,Attachments File/Report_65MB.csv
33nU-)&3paO222,Set a fixed amount every period,1,34577,Weekly,Attachments File/Report_65MB.csv
21mB-)&2eqE222,No auto-budget,8,95616,Monthly,Attachments File/Report_1MB.csv
56qP-)&7rnR222,Add an amount every period,8,,Daily,Attachments File/Report_1MB.csv
61uL-)&5skM222,Set a fixed amount every period,1,56252,Yearly,Attachments File/Report_65MB.csv
38pA-)&93hT222,Add an amount every period,1,51673,,Attachments File/Report_1MB.csv
44eA-)&4ugG222,No auto-budget,1,65124,Monthly,Attachments File/Report_65MB.csv
11iE-)&3pvT222,No auto-budget,1,55427,Yearly,Attachments File/Report_65MB.csv
13dV-)&7fbT222,Add an amount every period and correct for overspending,1,4019,Monthly,Attachments File/Report_1MB.csv
95bN-)&3enE222,Set a fixed amount every period,8,85508,Monthly,Attachments File/Report_1MB.csv
21cT-)&6vrT222,Add an amount every period,1,59309,Daily,Attachments File/Report_1MB.csv
82sT-)&5fnW222,No auto-budget,8,15311,Weekly,Attachments File/Report_1MB.csv
66uI-)&29fZ222,Set a fixed amount every period,8,13753,Daily,Attachments File/Report_65MB.csv
73fS-)&3f1K222,Add an amount every period,8,75927,Weekly,Attachments File/Report_1MB.csv
41jN-)&8c7U222,Add an amount every period,8,8028,Weekly,Attachments File/Report_65MB.csv
52hR-)&0anE222,Add an amount every period,1,45760,Daily,Attachments File/Report_1MB.csv
49jH-)&98tC222,Set a fixed amount every period,8,18937,Monthly,Attachments File/Report_65MB.csv
07lB-)&9ixP222,Add an amount every period,1,61129,Monthly,
82aG-)&6j1M222,Add an amount every period,1,72616,Monthly,Attachments File/Report_1MB.csv
79iD-)&69uH222,Add an amount every period,1,46695,Yearly,Attachments File/Report_1MB.csv
21bV-)&4jvE222,Add an amount every period and correct for overspending,8,82661,Weekly,Attachments File/Report_1MB.csv
31pF-)&5wfY222,Set a fixed amount every period,8,77615,Yearly,
04wJ-)&3myP222,Add an amount every period and correct for overspending,1,23509,,Attachments File/Report_1MB.csv
08tL-)&2djG222,Add an amount every period and correct for overspending,1,68165,Daily,Attachments File/Report_1MB.csv
24lF-)&4g8N222,Add an amount every period and correct for overspending,8,92054,Weekly,Attachments File/Report_1MB.csv
,No auto-budget,8,97841,Daily,Attachments File/Report_65MB.csv
59kC-)&02rP222,Add an amount every period and correct for overspending,1,8515,Weekly,Attachments File/Report_1MB.csv
66cT-)&2j3Y222,Set a fixed amount every period,8,86756,Monthly,Attachments File/Report_65MB.csv
08gL-)&0hsP222,Set a fixed amount every period,1,44123,Weekly,Attachments File/Report_1MB.csv
95lD-)&9orL222,Add an amount every period,1,61519,Monthly,Attachments File/Report_1MB.csv
17gY-)&0j7D222,Add an amount every period,1,10716,Yearly,Attachments File/Report_1MB.csv
08pJ-)&3wqN222,Add an amount every period and correct for overspending,8,56475,Weekly,Attachments File/Report_1MB.csv
57eA-)&4otN222,Set a fixed amount every period,8,16948,Daily,Attachments File/Report_1MB.csv
60tI-)&6pfQ222,Set a fixed amount every period,8,98923,Daily,Attachments File/Report_1MB.csv
45eB-)&9xbZ222,Add an amount every period,1,8661,Daily,Attachments File/Report_1MB.csv
23jR-)&14kU222,Add an amount every period,1,14895,Monthly,Attachments File/Report_1MB.csv
23pD-)&7gbE222,Add an amount every period and correct for overspending,1,76998,Yearly,Attachments File/Report_1MB.csv
95qA-)&0hcZ222,Set a fixed amount every period,1,16581,Monthly,
89mK-)&9i2Q222,Add an amount every period,8,24818,Weekly,
,Set a fixed amount every period,8,24040,Daily,Attachments File/Report_1MB.csv
36vF-)&0k6X222,No auto-budget,1,74545,Weekly,Attachments File/Report_1MB.csv
06gV-)&4gxY222,No auto-budget,1,96466,Daily,Attachments File/Report_1MB.csv
87fL-)&89zP222,Set a fixed amount every period,8,26827,Weekly,Attachments File/Report_1MB.csv
76zM-)&27sT222,No auto-budget,1,43891,Yearly,Attachments File/Report_1MB.csv
16aU-)&6zqU222,No auto-budget,8,58522,Yearly,Attachments File/Report_1MB.csv
46uY-)&40nK222,Set a fixed amount every period,8,,Yearly,
20bD-)&606I222,Add an amount every period and correct for overspending,8,1652,Monthly,Attachments File/Report_1MB.csv
29rH-)&6jaN222,Add an amount every period and correct for overspending,8,31536,Yearly,Attachments File/Report_1MB.csv
73aC-)&66hU222,Add an amount every period and correct for overspending,8,87349,Monthly,Attachments File/Report_65MB.csv
36jS-)&6gzI222,Set a fixed amount every period,1,62219,Monthly,Attachments File/Report_1MB.csv
82kZ-)&2ppA222,Add an amount every period and correct for overspending,1,37657,Weekly,Attachments File/Report_1MB.csv
19xE-)&966X222,Set a fixed amount every period,8,85473,Monthly,Attachments File/Report_1MB.csv
42kH-)&4a5E222,No auto-budget,1,57179,Daily,Attachments File/Report_1MB.csv
62wX-)&2lgK222,No auto-budget,1,94648,Daily,Attachments File/Report_1MB.csv
50aH-)&7w4L222,No auto-budget,1,75605,Yearly,Attachments File/Report_1MB.csv
60aP-)&4hmQ222,Add an amount every period,8,11588,Yearly,Attachments File/Report_65MB.csv
80lK-)&2w8A222,Add an amount every period and correct for overspending,8,57514,Monthly,Attachments File/Report_1MB.csv
96zO-)&7uxI222,Add an amount every period and correct for overspending,1,99464,Daily,Attachments File/Report_1MB.csv
66jR-)&88eY222,No auto-budget,8,62557,Yearly,Attachments File/Report_1MB.csv
31uE-)&1lxW222,Add an amount every period and correct for overspending,1,82225,Weekly,Attachments File/Report_1MB.csv
86wC-)&3ztX222,No auto-budget,1,25813,Weekly,Attachments File/Report_1MB.csv
07gZ-)&6k5K222,Add an amount every period and correct for overspending,8,89503,Weekly,Attachments File/Report_1MB.csv
47hJ-)&0iwO222,Add an amount every period,1,50210,Weekly,Attachments File/Report_1MB.csv
29fW-)&0t4G222,Set a fixed amount every period,1,34698,Yearly,Attachments File/Report_1MB.csv
30bE-)&565O222,Add an amount every period and correct for overspending,1,81652,Daily,Attachments File/Report_1MB.csv
20sG-)&5ctP222,Add an amount every period,1,73828,Daily,Attachments File/Report_1MB.csv
99lZ-)&7yhP222,Add an amount every period and correct for overspending,1,96878,Yearly,Attachments File/Report_1MB.csv
91qU-)&6j2T222,Set a fixed amount every period,8,67005,Weekly,
55uW-)&02xS222,Add an amount every period,1,26459,Weekly,Attachments File/Report_1MB.csv
90gN-)&9esF222,Add an amount every period and correct for overspending,1,60428,Monthly,Attachments File/Report_65MB.csv
08gL-)&8jgN222,Set a fixed amount every period,8,39937,Yearly,Attachments File/Report_1MB.csv
43hA-)&8brY222,Set a fixed amount every period,8,19653,Monthly,Attachments File/Report_1MB.csv
,Add an amount every period,1,62468,Monthly,Attachments File/Report_1MB.csv
,No auto-budget,1,47134,Weekly,Attachments File/Report_1MB.csv
81dD-)&3p1E222,Add an amount every period,1,83042,Monthly,Attachments File/Report_1MB.csv
01mU-)&1byM222,No auto-budget,8,57265,Yearly,Attachments File/Report_1MB.csv
89cF-)&41dJ222,No auto-budget,8,,Weekly,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,8,84907,Weekly,Attachments File/Report_1MB.csv
88fN-)&0juF222,Set a fixed amount every period,1,45643,Daily,
96pL-)&8b6V222,No auto-budget,1,66394,Yearly,Attachments File/Report_1MB.csv
54sN-)&129I222,No auto-budget,1,35631,Weekly,Attachments File/Report_1MB.csv
04iB-)&975H222,Add an amount every period,8,22761,Monthly,Attachments File/Report_65MB.csv
39dK-)&5skA222,Add an amount every period and correct for overspending,8,82530,Monthly,Attachments File/Report_1MB.csv
32eG-)&0jkL222,Add an amount every period,1,15672,Yearly,Attachments File/Report_65MB.csv
31tI-)&6y5E222,Add an amount every period,1,13868,Yearly,Attachments File/Report_1MB.csv
70kE-)&26kK222,Add an amount every period and correct for overspending,1,28928,Daily,Attachments File/Report_1MB.csv
26rQ-)&4lrA222,No auto-budget,1,68895,Monthly,Attachments File/Report_1MB.csv
64vT-)&51wU222,No auto-budget,1,72299,Yearly,Attachments File/Report_65MB.csv
57eR-)&62aK222,Add an amount every period and correct for overspending,8,96831,Yearly,Attachments File/Report_65MB.csv
92mU-)&4k6A222,No auto-budget,8,97866,Yearly,Attachments File/Report_1MB.csv
,Add an amount every period,8,19456,Monthly,Attachments File/Report_65MB.csv
13xU-)&2vaT222,Add an amount every period and correct for overspending,8,77276,Monthly,Attachments File/Report_65MB.csv
49jO-)&858F222,Add an amount every period,1,52655,Monthly,Attachments File/Report_1MB.csv
71bX-)&4mqI222,Add an amount every period and correct for overspending,1,42996,Monthly,Attachments File/Report_1MB.csv
06fO-)&7tpP222,Set a fixed amount every period,8,83954,Daily,Attachments File/Report_1MB.csv
82bM-)&8ozT222,No auto-budget,8,17486,Weekly,Attachments File/Report_1MB.csv
19jO-)&6x4C222,No auto-budget,1,,Weekly,Attachments File/Report_1MB.csv
37uG-)&0phA222,Add an amount every period,8,25785,Weekly,Attachments File/Report_1MB.csv
54wE-)&3z4N222,Add an amount every period,8,89935,,Attachments File/Report_65MB.csv
09tH-)&1faJ222,Add an amount every period,8,37833,Daily,Attachments File/Report_1MB.csv
17oI-)&5beK222,Add an amount every period and correct for overspending,8,58067,Weekly,Attachments File/Report_65MB.csv
,Add an amount every period and correct for overspending,8,81290,Weekly,Attachments File/Report_1MB.csv
97yN-)&1kxR222,No auto-budget,8,35031,Weekly,Attachments File/Report_1MB.csv
12mW-)&2ubL222,Add an amount every period,8,,Weekly,
,Add an amount every period and correct for overspending,8,2110,Daily,Attachments File/Report_65MB.csv
05eL-)&1n9G222,Add an amount every period,8,5635,Monthly,Attachments File/Report_1MB.csv
15dI-)&3deE222,Add an amount every period,8,71919,Daily,Attachments File/Report_65MB.csv
92pR-)&8ymF222,Set a fixed amount every period,8,12932,Yearly,Attachments File/Report_1MB.csv
36wM-)&5egU222,Add an amount every period,8,56571,Daily,Attachments File/Report_1MB.csv
,Set a fixed amount every period,1,34036,Monthly,Attachments File/Report_1MB.csv
27pG-)&2z3T222,Add an amount every period,8,41060,Weekly,Attachments File/Report_1MB.csv
,Add an amount every period,8,48939,Yearly,Attachments File/Report_1MB.csv
72zN-)&33wP222,No auto-budget,8,42655,Monthly,Attachments File/Report_1MB.csv
74lY-)&11dE222,Add an amount every period,8,25235,Yearly,
32sH-)&1arH222,Add an amount every period,1,9812,Yearly,Attachments File/Report_1MB.csv
64cS-)&854M222,No auto-budget,1,36459,Weekly,
27pT-)&0bqL222,Add an amount every period and correct for overspending,8,33287,Weekly,
68qL-)&5cyJ222,Add an amount every period and correct for overspending,8,7557,Weekly,Attachments File/Report_1MB.csv
85cR-)&860L222,Set a fixed amount every period,1,21730,Daily,Attachments File/Report_1MB.csv
83gE-)&725G222,Add an amount every period and correct for overspending,1,26264,,Attachments File/Report_1MB.csv
80zH-)&55oJ222,Add an amount every period,1,13403,Weekly,Attachments File/Report_1MB.csv
86pR-)&8tfA222,Set a fixed amount every period,8,71974,Yearly,Attachments File/Report_1MB.csv
,Set a fixed amount every period,1,18570,Monthly,Attachments File/Report_1MB.csv
15jB-)&0wtA222,Add an amount every period and correct for overspending,1,47033,Weekly,Attachments File/Report_1MB.csv
56uC-)&9lbD222,Set a fixed amount every period,8,19439,Daily,Attachments File/Report_1MB.csv
,Add an amount every period and correct for overspending,8,51042,,Attachments File/Report_1MB.csv
67wD-)&22hU222,Set a fixed amount every period,8,99230,Yearly,Attachments File/Report_1MB.csv
10uJ-)&3t6T222,Add an amount every period,8,79910,Weekly,
74hE-)&456X222,Add an amount every period,1,57996,Daily,
55hL-)&0fjT222,Add an amount every period,8,96360,Weekly,Attachments File/Report_1MB.csv
20mI-)&3aiZ222,No auto-budget,8,392,Daily,Attachments File/Report_65MB.csv
80kQ-)&48kE222,Add an amount every period,8,15214,Weekly,Attachments File/Report_1MB.csv
01uT-)&6j4E222,No auto-budget,8,91408,Monthly,Attachments File/Report_1MB.csv
81tK-)&4gvT222,No auto-budget,1,64649,Weekly,Attachments File/Report_65MB.csv
50hR-)&8a6P222,Add an amount every period and correct for overspending,8,68453,Yearly,Attachments File/Report_1MB.csv
90cH-)&2v0G222,No auto-budget,8,18673,Weekly,Attachments File/Report_1MB.csv
40dF-)&517Z222,Add an amount every period,8,60510,Weekly,Attachments File/Report_65MB.csv
